;#;Kingdom;Phylum;Class;Order;Family;Genus;Species
Enterobacter_sp_1;8;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Enterobacter;NA
Stenotrophomonas_sp_1;1;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;chelatiphaga/humi/maltophilia/nitritireducens/pavanii/rhizophila
Pantoea_sp_1;9;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Pantoea;agglomerans/ananatis/vagans
Cloacibacterium_normanense_1;2;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Cloacibacterium;normanense
Acidovorax_sp_1;3;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;NA
Acidovorax_sp_2;4;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;NA
Diaphorobacter_nitroreducens;15;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Diaphorobacter;nitroreducens
Bacillus_sp_1;10;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;agaradhaerens/altitudinis/amyloliquefaciens/atrophaeus/axarquiensis/cereus/licheniformis/malacitensis/methylotrophicus/mojavensis/nematocida/phage/polyfermenticus/pumilus/siamensis/sonorensis/subtilis/tequilensi/tequilensis/thuringiensis/vallismortis
Cupriavidus_sp_1;11;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus;metallidurans/pauculus/taiwanensis
Tumebacillus_sp_1;5;Bacteria;Firmicutes;Bacilli;Bacillales;Alicyclobacillaceae;Tumebacillus;NA
Rhizobium_sp_1;6;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;calliandrae/freirei/lusitanum/multihospitium/rhizogenes/tropici
Staphylococcus_sp_2;12;Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;capitis/caprae/epidermidis/haemolyticus/saccharolyticus
Sphingomonas_paucimobilis;23;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;paucimobilis
Corynebacterium_1_tuberculostearicum_1;21;Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium_1;tuberculostearicum
Escherichia.Shigella_sp_1;16;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia/Shigella;NA
Methylobacterium_sp_1;18;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium;NA
Corynebacterium_1_sp_2;22;Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium_1;NA
Propionibacterium_acnes_1;13;Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Propionibacterium;acnes
Staphylococcus_sp_3;24;Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;epidermidis/hominis
Propionibacterium_sp_1;7;Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Propionibacterium;NA
Corynebacterium_1_tuscaniense;20;Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium_1;tuscaniense
Propionibacterium_acnes_2;17;Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Propionibacterium;acnes
Propionibacterium_sp_2;19;Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Propionibacterium;NA
Rhizobium_sp_10;14;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;NA
