,,Kingdom,Phylum,Class,Order,Family,Genus,Species
Fusarium_sp_1,20,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,NA
Fusarium_sp_2,12,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,NA
Penicillium_bialowiezense_1,21,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,bialowiezense
Cladosporium_delicatulum_1,8,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,delicatulum
Penicillium_kongii_1,19,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,kongii
Fusarium_sp_3,5,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,NA
Nigrospora_oryzae_1,22,Fungi,Ascomycota,Sordariomycetes,Trichosphaeriales,Trichosphaeriaceae,Nigrospora,oryzae
Fusarium_poae_1,11,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,poae
Mortierella_elongata_1,29,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,elongata
Penicillium_brevicompactum,15,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,brevicompactum
Saitozyma_podzolica_1,28,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Trimorphomycetaceae,Saitozyma,podzolica
Penicillium_antarcticum_1,27,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,antarcticum
Lachnum_virgineum_1,25,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Lachnum,virgineum
Aspergillus_conicus_1,2,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,conicus
Penicillium_sp_2,24,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,NA
Aspergillus_appendiculatus,1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,appendiculatus
Fusarium_sp_4,13,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,NA
Fusarium_sporotrichioides,14,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,sporotrichioides
Penicillium_simile,23,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,simile
Wallemia_muriae_1,16,Fungi,Basidiomycota,Wallemiomycetes,Wallemiales,Wallemiaceae,Wallemia,muriae
Mycosphaerella_tassiana_1,26,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,tassiana
Filobasidium_sp_1,10,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,NA
Cryptococcus_pseudolongus,9,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Cryptococcus,pseudolongus
Aspergillus_fumigatus_1,7,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,fumigatus
Fusarium_sp_7,6,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,NA
Fusarium_sp_8,18,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,NA
Gibberella_fujikuroi_1,17,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Gibberella,fujikuroi
Fusarium_sp_11,3,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,NA
Fusarium_sp_12,4,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,NA
